LeadID,Age,Gender,Location,LeadSource,TimeSpent (minutes),PagesViewed,LeadStatus,EmailSent,DeviceType,ReferralSource,FormSubmissions,Downloads,CTR_ProductPage,ResponseTime (hours),FollowUpEmails,SocialMediaEngagement,PaymentHistory,Conversion,feedback
2086,40,Male,Lahore,Email,44,15,Hot,2,Tablet,Twitter,4,1,0.4,21,3,91,Good,1,"Satisfied overall, no major complaints."
2126,49,Male,Karachi,Organic,11,15,Hot,7,Tablet,Google,0,3,0.5,2,8,105,Good,1,Very satisfied with the service.
2229,29,Male,Lahore,Social Media,54,11,Hot,7,Desktop,Facebook,5,0,0.6,12,8,39,Good,1,A good choice for anyone considering it.
2239,29,Male,Karachi,Social Media,42,13,Hot,7,Desktop,Facebook,2,2,0.4,19,1,95,No Payment,1,The quality is impressive for the price.
2269,39,Male,Karachi,Email,36,14,Cold,7,Tablet,Twitter,0,1,0.7,16,10,21,Good,1,A decent product with good value.
2299,37,Male,Islamabad,Email,42,11,Hot,8,Desktop,ReferralSite,5,2,0.3,19,9,183,Good,1,A good choice for anyone considering it.
2315,46,Male,Islamabad,Social Media,19,13,Hot,10,Mobile,Twitter,4,0,0.7,15,6,165,Good,1,"Satisfied overall, no major complaints."
2350,41,Male,Lahore,Referral,30,14,Cold,6,Mobile,Google,0,3,0.6,3,8,200,Good,1,The product works well for my needs.
2363,30,Male,Lahore,Email,40,15,Warm,9,Mobile,Direct,3,3,0.1,4,10,140,No Payment,1,"Satisfied overall, no major complaints."
2560,31,Female,Lahore,Email,39,14,Cold,10,Tablet,Facebook,0,0,0.6,18,8,79,No Payment,1,This is exactly what I was looking for.
2580,39,Male,Lahore,Organic,44,15,Cold,7,Desktop,Twitter,5,3,0.6,3,6,177,Good,1,It’s a reliable product.
2774,45,Female,Karachi,Organic,24,14,Cold,8,Desktop,Facebook,5,3,0.8,13,7,48,Good,1,The quality is impressive for the price.
2776,39,Female,Islamabad,Referral,33,13,Hot,7,Desktop,Direct,2,3,0.4,10,6,74,Good,1,"Good quality, but there’s room for improvement."
2917,40,Female,Lahore,Email,26,15,Warm,6,Mobile,ReferralSite,2,2,0.4,9,9,193,Good,1,This product is quite useful.
3009,48,Female,Karachi,Social Media,7,14,Cold,9,Mobile,Direct,5,1,0.2,16,7,123,Good,1,It’s a reliable product.
3054,32,Male,Lahore,Organic,44,15,Hot,6,Mobile,Facebook,1,3,0.4,11,0,27,No Payment,1,"Happy with the purchase, though not exceptional."
3076,25,Female,Karachi,Referral,49,15,Hot,7,Tablet,Twitter,4,1,0.6,5,0,34,Good,1,This is exactly what I was looking for.
3192,37,Female,Islamabad,Social Media,23,14,Cold,10,Tablet,Facebook,1,0,0.3,18,10,75,No Payment,1,A decent product with good value.
3296,43,Male,Karachi,Organic,56,13,Cold,7,Desktop,Google,3,1,0.4,24,6,37,Good,1,A decent product with good value.
3316,33,Male,Lahore,Referral,30,14,Warm,9,Tablet,Twitter,5,0,0.7,11,5,49,Good,1,The product is amazing!
3328,37,Male,Islamabad,Social Media,54,15,Hot,9,Desktop,Google,4,2,0.2,20,1,52,Good,1,A decent product with good value.
3337,39,Female,Karachi,Social Media,20,13,Warm,6,Tablet,Twitter,4,1,0.1,21,5,154,Good,1,Great experience!
3408,25,Female,Karachi,Social Media,36,14,Hot,6,Tablet,Twitter,0,0,0.2,24,1,142,No Payment,1,The product is amazing!
3515,34,Female,Islamabad,Organic,36,13,Hot,2,Desktop,Direct,4,1,0.4,2,10,119,No Payment,1,I use it regularly and it meets my expectations.
3524,26,Female,Karachi,Social Media,60,15,Hot,6,Desktop,Twitter,5,0,0.1,10,1,141,No Payment,1,It has improved my workflow significantly.
3554,38,Male,Islamabad,Referral,59,12,Hot,3,Desktop,Twitter,3,3,0.3,4,1,95,Good,1,"Satisfied overall, no major complaints."
3555,36,Female,Karachi,Referral,59,13,Hot,10,Mobile,Google,2,0,0.3,9,3,107,No Payment,1,It has improved my workflow significantly.
3570,30,Male,Karachi,Organic,47,12,Hot,8,Tablet,Twitter,4,0,0.4,17,3,192,Good,1,I use it regularly and it meets my expectations.
3631,41,Male,Karachi,Social Media,40,13,Cold,7,Desktop,ReferralSite,3,2,0.3,18,7,22,Good,1,A decent product with good value.
3689,34,Female,Karachi,Email,51,15,Cold,6,Desktop,Facebook,2,2,0.1,19,4,77,Good,1,The quality is impressive for the price.
3710,31,Female,Islamabad,Organic,11,14,Warm,6,Tablet,ReferralSite,0,1,0.2,24,7,101,Good,1,The product works well for my needs.
3788,34,Male,Islamabad,Organic,53,14,Cold,8,Desktop,ReferralSite,1,2,0.1,11,10,103,No Payment,1,"It’s nice to have, though not life-changing."
3808,35,Male,Islamabad,Email,22,13,Hot,9,Desktop,Google,3,3,0.5,5,8,70,No Payment,1,This is exactly what I was looking for.
3887,33,Male,Karachi,Organic,48,13,Hot,3,Tablet,Twitter,3,1,0.2,9,5,26,No Payment,1,The quality is impressive for the price.
3913,34,Male,Islamabad,Referral,58,12,Hot,10,Mobile,Facebook,5,2,0.7,2,4,121,Good,1,The product works well for my needs.
3961,40,Female,Islamabad,Referral,37,13,Hot,1,Tablet,Google,1,3,0.8,7,10,120,No Payment,1,"Satisfied overall, no major complaints."
3963,25,Female,Lahore,Referral,52,11,Hot,2,Tablet,ReferralSite,0,2,0.5,10,9,117,No Payment,1,I am generally pleased with the purchase.
3968,40,Female,Karachi,Referral,44,15,Hot,6,Mobile,Twitter,5,2,0.5,8,1,157,Good,1,"Happy with the purchase, though not exceptional."
4039,30,Female,Karachi,Organic,39,15,Hot,2,Tablet,Google,2,2,0.5,11,3,115,Good,1,This product is quite useful.
4109,36,Female,Karachi,Organic,51,12,Hot,1,Mobile,ReferralSite,0,2,0.2,14,3,113,No Payment,1,"Good quality, but there’s room for improvement."
4120,43,Male,Lahore,Social Media,12,15,Hot,10,Mobile,Google,5,1,0.1,5,7,127,No Payment,1,I really liked the product.
4290,43,Male,Karachi,Referral,12,13,Warm,7,Mobile,Facebook,0,1,0.3,11,8,137,No Payment,1,The product works well for my needs.
4451,40,Male,Karachi,Social Media,45,12,Hot,6,Desktop,Google,4,0,0.6,21,9,34,Good,1,I am generally pleased with the purchase.
4554,26,Female,Islamabad,Organic,33,11,Hot,2,Mobile,ReferralSite,3,0,0.8,18,6,158,No Payment,1,"It’s nice to have, though not life-changing."
4603,26,Male,Karachi,Email,51,15,Hot,2,Mobile,Twitter,3,2,0.2,2,3,151,Good,1,I use it regularly and it meets my expectations.
4861,32,Male,Islamabad,Organic,17,13,Hot,6,Mobile,Twitter,5,2,0.7,11,9,117,No Payment,1,It does the job as advertised.
4888,42,Female,Karachi,Email,42,14,Cold,10,Desktop,ReferralSite,2,0,0.2,8,6,121,No Payment,1,"Satisfied overall, no major complaints."
4936,30,Female,Lahore,Social Media,49,12,Hot,0,Tablet,Direct,1,2,0.4,12,7,169,Good,1,It has improved my workflow significantly.
4973,31,Female,Karachi,Referral,17,14,Warm,9,Tablet,Twitter,5,0,0.2,13,7,44,Good,1,The product is amazing!
5010,50,Male,Karachi,Email,18,15,Warm,8,Desktop,ReferralSite,5,1,0.3,19,6,45,Good,1,It’s a reliable product.
5064,44,Male,Lahore,Social Media,22,15,Hot,9,Mobile,Google,4,1,0.3,3,4,39,No Payment,1,Very satisfied with the service.
5107,50,Female,Islamabad,Organic,36,15,Hot,8,Desktop,Twitter,2,0,0.4,13,6,98,No Payment,1,"Happy with the purchase, though not exceptional."
5127,43,Female,Lahore,Referral,39,14,Cold,10,Tablet,ReferralSite,2,1,0.5,18,8,54,Good,1,The product is amazing!
5241,31,Male,Karachi,Social Media,44,14,Warm,8,Tablet,ReferralSite,4,1,0.6,15,10,104,No Payment,1,The quality is impressive for the price.
5290,40,Female,Lahore,Organic,13,15,Warm,10,Desktop,Twitter,1,2,0.1,10,8,148,No Payment,1,"It’s nice to have, though not life-changing."
5300,35,Female,Karachi,Social Media,21,14,Cold,9,Desktop,ReferralSite,4,0,0.7,12,5,119,No Payment,1,"It’s nice to have, though not life-changing."
5349,33,Female,Islamabad,Referral,30,14,Hot,8,Tablet,ReferralSite,1,1,0.6,21,9,186,No Payment,1,This product is quite useful.
5458,41,Male,Islamabad,Email,33,15,Hot,6,Desktop,Twitter,2,0,0.7,23,6,64,Good,1,Great experience!
5476,28,Male,Lahore,Organic,55,14,Hot,6,Mobile,Facebook,1,2,0.5,12,0,113,Good,1,The product works well for my needs.
5502,38,Male,Karachi,Social Media,35,12,Hot,3,Desktop,Google,5,0,0.4,20,8,46,Good,1,It does the job as advertised.
5512,40,Female,Lahore,Organic,57,14,Hot,7,Desktop,ReferralSite,1,0,0.5,9,8,191,Good,1,The product works well for my needs.
5551,38,Male,Karachi,Social Media,53,15,Warm,9,Mobile,Facebook,4,0,0.6,5,10,177,Good,1,"Good quality, but there’s room for improvement."
5629,25,Female,Lahore,Organic,40,12,Hot,7,Desktop,Twitter,1,2,0.5,15,1,191,Good,1,A good choice for anyone considering it.
5657,30,Female,Karachi,Email,32,14,Hot,8,Tablet,ReferralSite,2,3,0.3,7,1,124,Good,1,It does the job as advertised.
5728,42,Female,Lahore,Email,45,13,Hot,9,Mobile,Twitter,1,3,0.4,3,8,131,No Payment,1,It does the job as advertised.
5729,40,Female,Islamabad,Social Media,8,13,Hot,7,Desktop,Facebook,2,3,0.1,2,10,162,No Payment,1,"Satisfied overall, no major complaints."
5797,25,Female,Karachi,Organic,58,12,Hot,4,Desktop,Twitter,4,1,0.1,22,7,174,No Payment,1,The product works well for my needs.
5843,30,Female,Lahore,Email,45,12,Hot,6,Tablet,Twitter,2,0,0.7,21,3,26,Good,1,Very satisfied with the service.
5850,40,Female,Islamabad,Organic,40,12,Hot,10,Tablet,Google,2,0,0.5,2,3,102,No Payment,1,A decent product with good value.
5950,25,Male,Islamabad,Social Media,46,11,Hot,0,Mobile,Facebook,5,3,0.3,13,0,122,No Payment,1,A decent product with good value.
5952,47,Female,Karachi,Email,39,14,Cold,7,Desktop,ReferralSite,5,0,0.7,22,6,69,Good,1,Very satisfied with the service.
5973,32,Female,Islamabad,Organic,50,13,Hot,5,Mobile,ReferralSite,5,0,0.7,6,5,102,No Payment,1,This is exactly what I was looking for.
5989,27,Female,Islamabad,Organic,45,13,Hot,10,Tablet,Twitter,2,2,0.5,14,5,188,No Payment,1,It does the job as advertised.
6089,39,Female,Islamabad,Organic,33,11,Hot,9,Tablet,Twitter,1,2,0.5,2,0,146,No Payment,1,A decent product with good value.
6153,26,Female,Karachi,Organic,57,12,Hot,6,Desktop,Facebook,3,2,0.3,3,0,92,Good,1,I use it regularly and it meets my expectations.
6197,40,Male,Lahore,Referral,37,13,Hot,10,Desktop,Direct,3,3,0.2,13,3,139,Good,1,The product works well for my needs.
6233,38,Female,Karachi,Email,44,12,Hot,9,Tablet,Direct,2,0,0.5,13,5,28,No Payment,1,A decent product with good value.
6235,30,Male,Lahore,Social Media,9,13,Warm,9,Tablet,Direct,3,3,0.5,2,5,142,No Payment,1,The quality is impressive for the price.
6382,25,Male,Islamabad,Referral,46,15,Hot,10,Mobile,Facebook,5,2,0.4,7,6,191,No Payment,1,This is exactly what I was looking for.
6445,41,Male,Lahore,Social Media,13,15,Cold,7,Tablet,Google,2,1,0.4,15,9,144,No Payment,1,The quality is impressive for the price.
6517,29,Male,Lahore,Referral,49,14,Hot,2,Tablet,Google,0,2,0.7,10,10,89,Good,1,The product is amazing!
6589,45,Male,Lahore,Referral,18,14,Cold,10,Desktop,Direct,5,3,0.5,12,10,181,Good,1,Very satisfied with the service.
6644,39,Female,Karachi,Email,56,14,Warm,10,Tablet,Facebook,5,1,0.4,20,5,106,No Payment,1,The product is amazing!
6667,31,Male,Lahore,Organic,52,13,Hot,3,Tablet,Google,5,0,0.3,9,7,37,No Payment,1,The quality is impressive for the price.
6734,45,Male,Lahore,Organic,45,13,Warm,9,Tablet,Google,1,3,0.3,3,8,122,No Payment,1,"Satisfied overall, no major complaints."
6751,29,Female,Lahore,Referral,47,14,Hot,5,Mobile,Facebook,0,1,0.5,8,3,61,Good,1,"Good quality, but there’s room for improvement."
6880,29,Male,Islamabad,Referral,56,14,Hot,5,Desktop,Facebook,4,2,0.2,23,1,194,Good,1,"Satisfied overall, no major complaints."
6911,38,Female,Islamabad,Referral,43,15,Warm,8,Desktop,Direct,0,0,0.5,7,10,22,No Payment,1,A decent product with good value.
6932,35,Male,Lahore,Organic,52,11,Hot,3,Desktop,Twitter,3,2,0.7,6,9,86,No Payment,1,"Happy with the purchase, though not exceptional."
6950,34,Male,Islamabad,Social Media,45,11,Hot,10,Mobile,Direct,0,3,0.6,4,4,103,Good,1,"Happy with the purchase, though not exceptional."
6968,44,Male,Lahore,Organic,11,14,Warm,9,Desktop,Google,1,1,0.4,10,5,112,No Payment,1,I am generally pleased with the purchase.
6982,36,Male,Islamabad,Organic,38,12,Hot,3,Desktop,Google,4,2,0.3,20,9,63,No Payment,1,This is exactly what I was looking for.
7008,26,Male,Islamabad,Email,32,14,Hot,5,Tablet,Google,3,2,0.5,24,1,193,No Payment,1,Great experience!
7096,33,Male,Lahore,Email,17,14,Warm,8,Mobile,ReferralSite,0,2,0.3,9,5,193,Good,1,The quality is impressive for the price.
7102,34,Female,Karachi,Organic,9,14,Hot,6,Mobile,Google,1,3,0.4,19,7,39,No Payment,1,The quality is impressive for the price.
7195,42,Male,Karachi,Social Media,36,15,Warm,7,Mobile,ReferralSite,4,0,0.3,3,4,120,No Payment,1,Very satisfied with the service.
7304,46,Male,Islamabad,Email,49,15,Cold,9,Tablet,Twitter,2,2,0.3,4,8,51,No Payment,1,The product is amazing!
7313,47,Male,Lahore,Social Media,14,14,Hot,6,Desktop,ReferralSite,1,2,0.7,4,8,176,Good,1,"Satisfied overall, no major complaints."
7338,25,Female,Lahore,Referral,50,14,Hot,8,Mobile,Facebook,5,3,0.3,10,6,85,No Payment,1,It does the job as advertised.
7406,33,Female,Karachi,Social Media,16,15,Cold,10,Desktop,Direct,4,1,0.3,10,10,69,No Payment,1,"Solid product, works as expected."
7574,40,Female,Karachi,Referral,32,11,Hot,4,Mobile,ReferralSite,4,0,0.6,4,4,143,Good,1,Great experience!
7656,37,Male,Karachi,Social Media,26,14,Hot,7,Desktop,Google,5,3,0.4,23,6,177,No Payment,1,A decent product with good value.
7698,31,Female,Islamabad,Email,52,14,Warm,7,Desktop,Direct,0,1,0.5,3,10,158,No Payment,1,This is exactly what I was looking for.
7752,27,Female,Karachi,Organic,31,12,Hot,6,Tablet,Twitter,1,2,0.5,24,8,93,Good,1,"It’s nice to have, though not life-changing."
7755,29,Female,Islamabad,Social Media,31,13,Hot,10,Desktop,ReferralSite,2,3,0.4,22,8,21,Good,1,"Good quality, but there’s room for improvement."
7825,44,Female,Islamabad,Email,29,14,Warm,8,Mobile,Facebook,0,2,0.6,19,6,100,Good,1,"Good quality, but there’s room for improvement."
7891,37,Female,Lahore,Referral,6,15,Hot,7,Desktop,Direct,3,2,0.8,6,4,119,Good,1,It has improved my workflow significantly.
8030,40,Female,Islamabad,Email,55,13,Hot,0,Mobile,Google,4,0,0.6,2,5,86,No Payment,1,"Good quality, but there’s room for improvement."
8050,33,Male,Islamabad,Organic,35,15,Warm,9,Mobile,Google,4,1,0.1,13,8,113,No Payment,1,The product works well for my needs.
8132,39,Male,Karachi,Organic,45,15,Warm,7,Mobile,Google,5,2,0.3,24,4,36,No Payment,1,The quality is impressive for the price.
8181,47,Male,Islamabad,Organic,16,14,Hot,9,Desktop,Google,0,0,0.6,17,8,130,No Payment,1,I am generally pleased with the purchase.
8223,44,Female,Lahore,Organic,26,13,Cold,8,Desktop,Facebook,2,1,0.7,24,4,123,Good,1,"Satisfied overall, no major complaints."
8285,38,Male,Karachi,Referral,23,13,Cold,9,Desktop,Direct,2,1,0.8,1,10,122,No Payment,1,This product is quite useful.
8430,50,Male,Lahore,Referral,9,15,Hot,8,Desktop,Twitter,1,0,0.5,3,8,162,No Payment,1,I really liked the product.
8442,49,Female,Islamabad,Social Media,19,15,Cold,6,Tablet,Twitter,4,3,0.7,7,9,71,Good,1,It has improved my workflow significantly.
8470,38,Female,Karachi,Email,46,14,Cold,9,Tablet,Direct,3,0,0.7,4,10,75,No Payment,1,"Satisfied overall, no major complaints."
8536,47,Male,Islamabad,Social Media,19,15,Cold,7,Mobile,Google,3,3,0.5,6,7,63,Good,1,The quality is impressive for the price.
8541,31,Male,Karachi,Email,41,12,Hot,4,Tablet,Twitter,0,2,0.2,13,6,53,No Payment,1,It has improved my workflow significantly.
8578,47,Male,Lahore,Referral,42,15,Cold,8,Tablet,Direct,5,2,0.1,7,7,138,No Payment,1,It does the job as advertised.
8609,25,Male,Lahore,Referral,37,12,Hot,2,Tablet,Twitter,5,0,0.3,14,2,75,Good,1,I am generally pleased with the purchase.
8629,43,Female,Lahore,Referral,18,13,Cold,6,Mobile,Facebook,0,0,0.3,7,9,163,No Payment,1,I am generally pleased with the purchase.
8661,50,Male,Karachi,Social Media,11,14,Warm,8,Tablet,Twitter,5,3,0.4,19,8,126,No Payment,1,I really liked the product.
8925,42,Female,Karachi,Organic,15,13,Cold,7,Desktop,ReferralSite,3,3,0.5,7,5,98,No Payment,1,A decent product with good value.
9060,25,Female,Islamabad,Social Media,47,11,Hot,8,Desktop,Google,1,1,0.7,24,9,152,No Payment,1,The product works well for my needs.
9119,39,Female,Karachi,Referral,57,15,Cold,10,Desktop,Direct,4,2,0.2,7,10,181,No Payment,1,This is exactly what I was looking for.
9355,36,Male,Islamabad,Social Media,44,15,Hot,10,Tablet,Google,5,1,0.4,20,2,26,No Payment,1,"Solid product, works as expected."
9362,41,Female,Karachi,Social Media,45,14,Warm,8,Tablet,Twitter,5,3,0.4,7,6,149,No Payment,1,I really liked the product.
9516,32,Male,Lahore,Organic,43,14,Hot,7,Mobile,ReferralSite,0,0,0.4,18,6,59,Good,1,This product is quite useful.
9584,25,Female,Lahore,Organic,33,13,Hot,1,Mobile,Facebook,1,3,0.3,1,0,187,No Payment,1,This is exactly what I was looking for.
9671,32,Male,Lahore,Email,31,15,Hot,0,Mobile,Twitter,5,3,0.2,24,2,22,Good,1,"Solid product, works as expected."
9706,32,Female,Islamabad,Social Media,47,14,Hot,6,Desktop,Direct,3,1,0.2,23,4,191,No Payment,1,A good choice for anyone considering it.
9718,39,Female,Islamabad,Organic,36,14,Hot,3,Mobile,Direct,2,0,0.5,10,3,114,Good,1,The quality is impressive for the price.
9766,31,Male,Lahore,Social Media,59,14,Cold,10,Tablet,Twitter,3,3,0.3,1,8,129,Good,1,It does the job as advertised.
9772,34,Female,Islamabad,Referral,49,11,Hot,3,Desktop,ReferralSite,2,1,0.7,24,1,89,No Payment,1,"It’s nice to have, though not life-changing."
9844,35,Female,Karachi,Email,57,13,Hot,6,Tablet,Direct,4,2,0.2,21,6,35,No Payment,1,A decent product with good value.
9846,37,Male,Islamabad,Organic,15,15,Warm,8,Desktop,Twitter,1,0,0.2,1,5,78,No Payment,1,A decent product with good value.
9886,49,Female,Islamabad,Social Media,7,14,Warm,8,Mobile,Twitter,2,0,0.4,3,4,64,No Payment,1,The quality is impressive for the price.
9901,38,Male,Karachi,Referral,60,13,Hot,4,Tablet,Direct,5,2,0.7,11,9,93,Good,1,"Happy with the purchase, though not exceptional."
9912,31,Male,Islamabad,Referral,51,15,Hot,10,Tablet,Facebook,5,0,0.3,6,0,159,Good,1,"Satisfied overall, no major complaints."
9946,30,Male,Karachi,Email,10,15,Hot,8,Mobile,Facebook,3,1,0.1,5,7,118,No Payment,1,It does the job as advertised.
9955,32,Female,Lahore,Organic,57,12,Hot,10,Tablet,Google,1,3,0.2,5,3,115,Good,1,It does the job as advertised.
9991,36,Female,Karachi,Social Media,8,15,Cold,9,Tablet,Google,2,3,0.5,10,9,137,No Payment,1,A good choice for anyone considering it.
10148,43,Male,Lahore,Referral,24,14,Cold,8,Tablet,Direct,5,1,0.3,17,8,186,No Payment,1,This product is quite useful.
10317,32,Female,Lahore,Organic,12,14,Hot,9,Tablet,Direct,3,2,0.3,15,10,46,No Payment,1,Very satisfied with the service.
10359,33,Male,Lahore,Email,60,15,Cold,8,Mobile,Twitter,1,3,0.8,8,4,36,Good,1,A good choice for anyone considering it.
10434,38,Female,Lahore,Referral,8,15,Cold,8,Desktop,Twitter,5,3,0.6,14,7,59,No Payment,1,"It’s nice to have, though not life-changing."
10669,37,Male,Karachi,Social Media,42,14,Cold,6,Tablet,Twitter,0,2,0.2,18,9,106,No Payment,1,I use it regularly and it meets my expectations.
10688,34,Female,Islamabad,Organic,42,14,Hot,3,Mobile,Facebook,1,3,0.5,11,3,36,Good,1,"It’s nice to have, though not life-changing."
10694,39,Female,Lahore,Organic,46,12,Hot,3,Desktop,Google,3,2,0.4,9,0,140,Good,1,A good choice for anyone considering it.
10800,30,Male,Karachi,Organic,42,14,Hot,9,Mobile,ReferralSite,4,0,0.4,4,6,94,No Payment,1,"Happy with the purchase, though not exceptional."
10808,39,Female,Islamabad,Social Media,8,13,Warm,9,Tablet,Twitter,5,2,0.7,8,10,186,No Payment,1,"Happy with the purchase, though not exceptional."
10986,37,Female,Islamabad,Referral,53,13,Hot,4,Mobile,ReferralSite,4,1,0.1,10,4,141,Good,1,It does the job as advertised.
11113,42,Male,Lahore,Organic,10,15,Hot,6,Mobile,ReferralSite,3,3,0.6,13,4,21,No Payment,1,"Happy with the purchase, though not exceptional."
11366,30,Male,Lahore,Social Media,35,15,Hot,2,Tablet,ReferralSite,0,1,0.3,19,10,104,Good,1,The quality is impressive for the price.
11382,39,Female,Karachi,Email,47,14,Hot,4,Tablet,Twitter,3,2,0.8,3,4,107,Good,1,I really liked the product.
11500,34,Male,Lahore,Referral,53,14,Hot,2,Tablet,ReferralSite,0,2,0.5,11,9,30,No Payment,1,"Solid product, works as expected."
11551,36,Male,Islamabad,Organic,58,13,Hot,3,Desktop,Google,2,0,0.7,14,4,33,Good,1,A decent product with good value.
11615,37,Female,Lahore,Social Media,31,12,Hot,3,Tablet,ReferralSite,4,0,0.2,2,6,101,No Payment,1,Great experience!
11665,50,Female,Islamabad,Referral,14,15,Warm,7,Tablet,Google,4,0,0.8,2,6,31,No Payment,1,Great experience!
11683,29,Male,Karachi,Referral,58,11,Hot,1,Mobile,ReferralSite,1,3,0.6,10,7,23,Good,1,A good choice for anyone considering it.
11694,28,Male,Karachi,Referral,33,11,Hot,8,Desktop,Facebook,4,0,0.5,18,0,34,Good,1,I am generally pleased with the purchase.
11768,34,Female,Lahore,Email,55,12,Hot,7,Mobile,Facebook,0,1,0.6,6,5,152,No Payment,1,"Good quality, but there’s room for improvement."
11784,38,Male,Karachi,Social Media,43,14,Cold,7,Mobile,Direct,4,3,0.6,15,6,186,Good,1,"Good quality, but there’s room for improvement."
11813,28,Male,Islamabad,Organic,50,13,Hot,7,Desktop,Google,4,2,0.5,19,5,56,Good,1,"Solid product, works as expected."
11970,47,Female,Islamabad,Social Media,60,13,Warm,6,Mobile,ReferralSite,1,0,0.2,11,4,57,No Payment,1,The quality is impressive for the price.
11985,48,Male,Lahore,Email,17,13,Warm,7,Tablet,Direct,4,1,0.5,5,5,193,No Payment,1,The quality is impressive for the price.
12003,42,Male,Lahore,Organic,8,14,Hot,6,Tablet,Google,4,1,0.4,20,6,141,Good,1,"Happy with the purchase, though not exceptional."
12019,40,Female,Lahore,Referral,22,13,Cold,10,Mobile,Direct,5,3,0.8,23,8,120,No Payment,1,Very satisfied with the service.
12028,33,Female,Karachi,Organic,50,14,Cold,9,Desktop,Twitter,4,0,0.4,6,6,129,Good,1,This is exactly what I was looking for.
12092,43,Female,Lahore,Organic,28,15,Warm,8,Desktop,Direct,5,0,0.6,1,9,60,Good,1,It’s a reliable product.
12371,39,Male,Lahore,Social Media,42,15,Hot,1,Desktop,Twitter,1,0,0.6,8,9,104,Good,1,Great experience!
12425,32,Female,Karachi,Email,58,15,Hot,6,Mobile,Facebook,0,2,0.4,20,2,81,No Payment,1,This product is quite useful.
12450,32,Male,Islamabad,Email,23,14,Hot,7,Tablet,Twitter,0,3,0.7,6,10,76,No Payment,1,It does the job as advertised.
12466,47,Male,Karachi,Email,43,13,Warm,8,Desktop,Twitter,5,2,0.7,18,7,134,Good,1,"Satisfied overall, no major complaints."
12488,39,Male,Lahore,Email,47,12,Hot,10,Mobile,Facebook,0,0,0.2,3,2,185,No Payment,1,"It’s nice to have, though not life-changing."
12497,38,Female,Islamabad,Social Media,43,11,Hot,9,Mobile,Google,2,2,0.5,12,1,68,No Payment,1,"Satisfied overall, no major complaints."
12572,31,Female,Karachi,Social Media,45,13,Hot,8,Tablet,Google,0,1,0.5,13,3,181,Good,1,I am generally pleased with the purchase.
12663,35,Female,Islamabad,Organic,58,12,Hot,5,Mobile,Direct,3,1,0.4,18,2,156,Good,1,A good choice for anyone considering it.
